id,tamil,english
11733,  reply to Haters Slipper hitDislike potta pundangalukku',Reply to hotter's sleeper hittclicke to puta buntas'
11734, Thala super look jai thala Jai pavankalyan',Thala Super Look Jai Thalai Jai Pawan Kalyan'
11735, Daii H Vinoth nee enga da iruka aiyoo dheivam da nee',"O God, where are you?'"
11736, Daily likes  views pakka vanthavaga ellarukum vanakkam',Hello to all visitors of Daily Leaks Views'
11737, Im frm andra  i love ajith  jaii thala',E Love Ajith Zaee Thala by Im Pram'
11738, Oruthar mel ningga visvasam katerethekage innoruthare yen asinge padetheringe',"You show faith in one person, so you know why the other one is ugly'"
11739, I think indha padathula mr rangaraj  pandey nadichirukalam Main roll la',I think Rangaraj Pandey may have played the main role in this film'
11740, THALA always masss Ippo sollava venum Y music vera level ah irukkum',The music I want to say now is on a different level ah'
11741, Apdi ellam nadakkakudathu say ia thala its right',"It shouldn't happen, it's right'"
11742, THALA always masss Ippo sollava venum U music vera level ah irukkum',I always want to tell you that your music is on a different level'
11743, Love u Thala  Yuvan',Love you Thala Yuvan'
11744, Thala love you a lot omg yuvan ultimate',Thala love u a lot omg yuvan udimatte'
11745, THALA always masss Ippo sollava venum Y music vera level ah irukkum',The music I want to say now is on a different level ah'
11746, Ajith kelavan  Shalin pundaila naai okka nari okka    ajith daughter ra na okka',Ajith Ghilavan Shalini Pundaila Nai Okka Nari Okka Ajith Duktaer Ra Na Okka'
11747, Vera Vera level leveluu levelungo Thala thala thala thala',"Level to level, level to level'"
11748, Thala vera level thala  u combo semma',A different level of each and every combo'
11749, Are bc hindi mai kiya kro upload',R big hindi my kia gro uploadu'
11750, Thalaiya vera angle laa kaana porom',Let's go see uncle Vera'
11751, Ippdi naray naraya naraya intha speech semma masssssss thala neega',"Narai Narai Narai, this speech should remove the masssssssss head'"
11752, Range rajan sir mmm super Enga thalakuda wow',Ranke Rajan sir mmm super Enga Talkoo Wow'
11753, Sri devi saruku potututu poita appra yethuku avala peryaa alaa katuringaa from heart of thala fan',"Shree Devi put her clothes on and went to the top, why is her brother ala Kattringa Prem Heart Obi Thala Pane?'"
11754, Thala na thala thanthala takkaru doi',Thala Na Thala Tandale Tucker Doi'
11755, yuvan Shankar raja bgm vera level',Yuvan Shankar Raja Bikum is another level'
11756, Last punch sema thala dialogue super thalaaaaaaa',Last Punch Sema Thala dialogue is super thalaiaaaa'
11757, Finale dialogue ella fans kum porundhum',Then the dialogue will apply to all the balls'
11758, ಅಖಿಲ ಕರ್ನಾಟಕ ದರ್ಶನ್ಸುದೀಪ್  ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಈ ಬೆಸ್ಟ್ Wishing Thala Ajith Anna',Best Wishing Thala Ajith Anna from Darshansudeep fans all over Karnataka'
11759, Pandaee jii neega yepa padau nadika vantheenga',"Bandai GE, when did you come to play the boat?'"
11760, Vera level  enna voice da thala ',What is another level of voice?'
11761, Thala always great I m marana waiting',The head is always great in death'
11762, Mass thala yuvan bgm eppavum mass',Mas Thala Yuvan Begum Always Mas'
11763, Yenna voice ya Paaaaaaa Ajith Full of positivity',What a voice ya baaaaaa Ajith Beul op positivity'
11764, Oruthar meethu visuvasam katurathuku inoruthara asinga paduthuringaleeeeee Thala mass dialogue',"To build trust in each other, let's make each other look ugly.'"
11765, Rangraj Pandey  Ennaya Pandra Court la  Over aah Pesuna Court aah Vittu Kuda Thorathida Poranga 🤭 ',Rangaraj Pandey Ennaya Panra Court la Overa Pesuna Court aah Vittu Kuda Thorathida Poranga 🤭'
11766, Last dailog புரிஞ்சா inga like podunga',Last dailog burincha inga like podunga'
11767, Thala is rocking by Surya Anna fan',Thala Is Rocking Baya Surya Anna Bane'
11768, Oruthar mela viswasam katradhukku mathavangala yen asinga paduthurenga Hats off dialogue thala',Why are madhavangas being ugly for learning to trust each other? That's a dialogue site.'
11769, Avara Contol Pannunga Pls  Vera level expression  Thala',Condon him plus a head of another level espresso'
11770, Night kulla M like varum nu soldravanga like pannunga',Please like those who say that they like Night Dwarf'
11771, Ommala enna voice da thala vera level thaa mass',Ommale what is the voice ta different level tha mass'
11772, thala tha ennoda uyir daa   ajith Anna neega vera leave',"Tala Tha is my life, Ajith, brother, you are another leave'"
11773, ThalaClassAndMassNKPVerithanam  ThalaUHVinothCombo Summa Ninnu Pesuvanga Entha Nerkonda Paarvaiya',What is the point of view?'
11774, Yenda athukunu Hindi padathoda trailer konjam kooda maathamma appadiyeva poduvinga',Why don't you put a Hindi movie trailer for a month or so?'
11775, Thala marturenga Thala     Pakka mass thala',The head is dead'
11776, THALA DA VERA EVEN DA',If the head is different'
11777, Dei Pink padam paathurukeengala ilaya da 🤦\u200d🤦\u200d fight lam vechirukeenga 🤢🤮',Dei Pink padam paathurukeengala ilaya da 🤦\u200d🤦\u200d fight lam vechirukeenga 🤢🤮'
11778, Padam supera dhan irukum But mass gethu irukuma 🤔🤔🤔🤔',Padam supera dhan irukum But mass gethu irukuma 🤔🤔🤔🤔'
11779, Dislike pottu kadupetararu my Lord',Put it on Dislike and make it hard for me'
11780, Thala veriyan mass fans like here',Thala Khianiyaan Mass Balls Like Tere'
11781, Inum Niraya Niraya Niraya ethirpakra  Love you Thala',Lots and lots and lots more love you site'
11782, Thala na lae Mass than daaa',Thala na le mas tana top'
11783,  view in  minutes Thala vera leval',VV's minutes are on another level'
11784, ORUTHAR MELA VISWASAM Kaatrathukaga  INNORUTHARA YEN ASINGA Paduthureenga  Im vijay fan 🤗🤗🤗',ORUTHAR MELA VISWASAM Kaatrathukaga INNORUTHARA YEN ASINGA Paduthureenga Im vijay fan 🤗🤗🤗'
11785, Hindhi reamake ka erudhalum Tamil la pakum podhu Nala erukuu',It is in the public interest that the Hindi remake will also go into Tamil'
11786, Looks like an interesting movie ',Look like an interesting movie'
11787, Trailer la Yenna pudikalanu dislike pandreenganum commentla explain pannuna nalla irukum',"If you don't understand anything in the trailer, please share it in the comments.'"
11788, Ellam avan seyal padathula ethuku thala nadichurukaru🤔',Ellam avan seyal padathula ethuku thala nadichurukaru🤔'
11789, Thala',Leader'
11790, Yandha court laiyum ipudi nai mathirre kathaara mattanga bha 🤣🤣 Rip nerkonda parvai',Yandha court laiyum ipudi nai mathirre kathaara mattanga bha 🤣🤣 Rip nerkonda parvai'
11791, final dialoguesila illa pala per ku purijirrukum',A lot of people who don't have final dialogues will be happy'
11792, Hit Like For Thala Nerkonda Paarvai',A look at the hit-like battle head'
11793, U veriyans kill the like button',The like button to kill your fans'
11794, BGM Vera level  uvan sir awesome',Bikum another level you sir are awesome'
11795, Thalayoda nadippu romba strong ga irukku kankalagidichi chense illa he is real human',"Thalayoda's performance is very strong, eye-popping senseless, he is real human'"
11796, Ipa than ajith acting ku oru nalla padam set agi iruku after varalaru movie',Ajith is now set to act in a good film called Abider Tarishi Mowaye'
11797, Thala Yuvan again kola mass',Thala Yuvan Again Kola Mas'
11798, Thala ni vera level unna adichikka evanum illa ',There is no one who can beat you to another level'
11799, Non  stop ah pakure  Thala',I stop ah pakure thala'
11800, Vetri maran thalaiva neenga eduthale vetri thannnnnnnn',"Victory is not a leader, if you take it, victory will come'"
11801, starting BGM it feels like VADA CHENNAI Movie',Starting Begum It Beans Like Vada Chennai Mowaye'
11802, Arivalum velkambu padathla varudhu meaning purinjavan lika podu',Varuthu Meaning Purinjavan League in Velkambu film by knowledge'
11803, Dhanushhh Annaa Tlgu State la mvi release pannu Annaa ',Dhanushhhh Anna Dulku State La Mavei Release Banu Anna'
11804,  verithanama iruku nu solravanga like podunga',Like those who say it's crazy'
11805, Ratchasan music Mari eruku startngla 🤔🤔enaku matum Tha apdi thonutho',Ratchasan music Mari iruku starting la 🤔🤔enaku mattum Than apdi thonutho'
11806,  time mela pathuta \u200d Bayamave iruku Yenna acting da yeppa  Dhanush best movie ha irukum Bgm',time mela pathuta \u200d Bayamave iruku Yenna acting da yeppa Dhanush best movie ha irukum Bgm'
11807, Ungalala mattum epdi ipdi shot vaika mudiudhuhatsoff vetri sir',"How can only you make a shot like this, Vetri sir'"
11808, Kadavulaa dhanushu nu sollravanglam like podunga',"Those who are telling Dhanush, please like'"
11809, Indha bgm kekumpodhu viswasam bgm mind la vandhutu pogudhu',"When this Bhikkum asks, Viswasam Bhagum comes and goes in a minute'"
11810, Dhanush  Vettri Maran sollava venum mass Tha',"Dhanush Vetri Maran wants to say, mas tha'"
11811, super   sc seen TEMPLETEAM',Super Chuck Chinese TemplateTeam'
11812, Yaarella Tee Jay note panigeh fans oru like podungeh 🤩🤩🤩',Yaarella Tee Jay note panigeh fans oru like podungeh 🤩🤩🤩'
11813, Namakku thevayanadha namma tha adichu vanganum',Let us buy what we need'
11814, Asuran trailer    Dhanush  vetrimaaran  Gv   Sola varthaikaley ilaa ',Asuran Trailer Dhanush Vetrimaran Give is speechless'
11815, Ratham therika therika ultimate ah irukuuuuuuuagain indha combo ultimate ah irukum',Blood Splashing Ultimate Ah This combo of UUUUUUUUUUUUUU will be ULTIMATE AH'
11816, Summavae Tamilnadu la rowdisam adhikama iruku inthula thalaivae padam sollavae venuinni attack la payangarama iruka poguthu verithanam',"It's just that there is a lot of rowdyism in Tamilnadu, the film is the main one, and the attack is going to be terrible.'"
11817, Inaiki date announce panitu yevlo neram kalaichi release panringa',How much time has passed since announcing the date and releasing it?'
11818, I love you Dhanush anna veriyan',I love you Dhanush Anna Khiyanyan'
11819, Jeyikuromo illa thokuromo modhalla sanda seiyanum',We have to fight not to win or lose'
11820, Vetti maaran  jv prakash and dhanush vara leval',Vetri Maran is level with GV Prakash and Dhanush'
11821, Vada channei oda super ra erukum',Vada Sei OTA will be Super Raw'
11822,  k view  k like',K VV K Like'
11823, Unofficial sequel of vada chennai  note  its not vada chennai  Vetrimaaran DAWWW',Unoofficeyal Seyul OP North Chennai Note Its Note North Chennai Vetrimaran Dovvv'
11824, Padippa mattum namma kitterndhu edukkuvey mudiyathu',We can't just take the study away from us'
11825, Intha trailer trending nu soldravanga oru like ting ting panugo',Those who say this trailer is trending get a like ding ding banuco'
11826, Thala ya Thani eduthutu vandhu irundha ',He had brought his head separately'
11827, padam odutho illayo hero na continues ha padam pannanum Dhanush doing that adhukkey avarukku special salute',Special salute to Dhanush for doing Hero Na Continuous Ha film whether or not the film runs or not.'
11828, Vetrimaran  dhanush  gv  combo vera level ah irukka poguthu movie',Vetrimaran Dhanush give combo is going to be another level ah mowaye'
11829, Thalaivara paaka Konjam Veerappan Maari iruku laa',Veerappan has changed a bit to see the leader'
11830, Manju chechi  Kanmadham movie ormavannu',Manju Sechi Kanmatam Mowaye Ormavannu'
11831, Aadukalam Vibes ASURAN NationalAward Material Thalivaa',Audakalam VPS Asuran Nationalaward Mater Leader'
11832, Adengappa 🤔🤔🤔   Verithanama illa irukku',Adengappa 🤔🤔🤔 Verithanama illa irukku'
11833, thats thalaivar walk gvp bgm  yedutu vaingada national awarda 🤩',thats thalaivar walk gvp bgm yedutu vaingada national awarda 🤩'
11834, Enna manusanyaacting parthalle pullarikkuthu Danish  fan from srilanka',What is manusanyasiting parthalle pullarikutu danish pan prem sri lanka'
11835, pwli   കിടു   anyayam',pwli kitu anyayam'
11836, Thalaivar dhanush anna',President Dhanush Anna'
11837, Nammakitta kaadu irndha eduthukuduvanungakaasu irndha  pudingikuvangaaana padippa yaaru edthukkamudiyadhu',"We had a forest, but no one can study Pudingikkuwankasu'"
11838, Semma thalavaaa full',Chemma Chief Buell'
11839, Daii gv olunga music mattum pottu irunthu irukalam nkp tuney potu vechi irukan expected a lot',You may have only put music properly.'
11840, k views k likes hw is it possible',K Views K Leaks How Is It Possible?'
11841, Ena da kfg musiq lam kekuthu',Da Kafi Music Lam asks'
11842, Asuran trailer is asura vadham 🤩',Asuran trailer is asura vadham 🤩'
11843, മലയാളി ഉണ്ടോ ഇവിടെ Namakku thevayanatha namma than adichu vaankanum',Is there Malayali here Namakku thevayanatha namma than adichu vaankanum'
11844, Waiting in maranathai venra maari boysking of karai',Boisking Obi Karai became the conqueror of this death'
11845, Ithukkum dislike podravangala nenacha than',I thought about this and disliking'
11846, சிம்பு fans Yarum Irukingala  Ohhh simbu ve illayaa   Funny guy simbu ',Simbu fans Yarum Irukingala Ohhh simbu ve illayaa Funny guy simbu'
11847, ENPT ku kaathu kadanthathellam oru nimishathula poiruchu',All my waiting was gone in a minute'
11848, Vera level trailer thalaivaaaaaaaaaaaaaaaaaaaaaaaaa  semaya',Vera level trailer thalaivaaaaaaaaaaaaaaaaaaaaaaaaa semaya'
11849, Namma kitta Kadu iruntha aduthukuvanga Poo iruntha pudingikivanga Padippa mattum Namma kitta irunthu aduthukavey mudiyathu chithambarammass dialogue ya',"Chidambaram's dialogue, we can't take only education from us, we can't take from us only education that was hard, but there was flower.'"
11850, Velraj sir cinematography Vera leval',Velraj sir cinematography is another level'
11851, Koora kummudu potutrindha paya pullaingaluku enga irundhule ivlo thairiyamu roshamu vandhadhu  vetrimaran does another dalith movie ',Vetrimaran DOS is another Dalit Mowaye where such courage and rage came from nowhere for those who were afraid to say Kummud.'
11852, ENPT Vena ASURAN Venum  Which One Like',Like the one that my old monster wants'
11853, k like and k views',K Likes and K Views'
11854, Congratz greatest writter poomani sirvekkai naaval is wonderfull karisal kaatu ilavarasan',Congress's Greatest Writer Bhoomani Seervekkai Novel Is Onderpiya Karisal Kattu Irakshaan'
11855, Vetri maran dhaush legendry combo padipa matum namba Kita irnthu edthukave mudiyathu  true',"Vetri Maran Dhanush Leghenri Combo study is not available from us only, Dru'"
11856, Padipehmatu yavanalu yaduka mudiyadhu Semma dialogue FDFS waiting',"You can't take it because of the age of reading, but you can catch the dialogue'"
11857, Inda maadiri nalla padam epdi pannuvanga appa vetri  ',"How to make a good film like this, father Vetri'"
11858, Yeppa verithanam da saamypadam na ippadi irukanum',Whenever the frenzy is like this'
11859, Sir plz realese telugu also sir plz plz',Sir Plz Release Telugu Also Sir Plz Plz'
11860, Payagarama irku semma vera level Dhanush Anna Acting look',Dhanush Anna's acting look is a different level for Payangarama'
11861, Yanga thalivar padathala teejay iruka yaravathu kandupidecha commant panunga',"If anyone finds a deejay in our leader's film, please comment'"
11862, Vada chennai   Sanda seiyanum ENPT Yerangi adikanum Asuran  Adichu vaanganum',"North Chennai wants to fight, and the monster will get hit'"
11863, Entha padam vera yaru dhanush Vida nalla nadippa',Who else has a better performance than Dhanush in any movie?'
11864, Idhumadhiri Padam yedunga Da engal veetu pillia ungal veetu Pillai nu aaraicha aaraicha Maavey araikadhinga',Take a picture like this and don't research our house billing your house child'
11865, Padippa mattum yaaralayum eduthuka mudiyaathu  Yappaaaaa',No one can take studies alone'
11866, Adi pavingla Teaser Vera level',Aadi Pavinga teaser is another level'
11867, Namma kitta kaadu irunda edutupanungoo Ruppai irunda pudingupanungoo Anna padipaa matum namma kita eduka mudiyatuu   weareproudtobesayDhanushFans',Veribroutopesayatanushupans that we can't take only Pudingupanungoo Anna Padippa who had a dark forest near us.'
11868, Diwly ku release  pannuna bigil  avvlothan',That's the Beagle that was released by Dilly Ku'
11869, Padippa yaralayum edutthukka mydiyaathu intha dialogue rompa arumaiyaga irukku  Vekkai naaval vendum',"The dialogue is very good, I want a novel about it'"
11870, gv prakash music ku i am like',GV Prakash Music Ku E Ama Like'
11871, BGM like Nkp va modhiparu yuvan',Bikum Like Nuff Va Motipparu Yuvan'
11872, Thalaivar Rajini ku Shankar   Thalapathy Vijay ku Atlee   Namma Dhanush ku Vetrimaran tha',President Rajini Ku Shankar Commander Vijay Ku Atlee Namma Dhanush Ku Vetrimaran tha'
11873, Manju chechiiiiii njangal katta waiting aanu',Manju is a man who builds reality'
11874, Dhanush thalaivarrrr veraaaa level asuran waiting for theee scrennn thalaivaaaaaaa    Dhanush veriyan daaaa naaaa',Dhanush is the leader of a different level of evil.'
11875, Asuren Vettai arambam   am Dhanush  Anna veriyan',Monster Hunt Begins Ama Dhanush Anna Fanatic'
11876, Padipa matum namma kitendhu eduka mudiyathu  looks another raw film from vetrimaran',"We can't just take studies from us, Luke in another raw film frame Vetrimaran'"
11877, Namma kitta kaadu irrundha vankikuvanuga kaasu irrundha pudikinkeguvanuka padippa mattum than namma kitta irrundhu edukka mudiyathu mass🤔🤔🤔',Namma kitta kaadu irrundha vankikuvanuga kaasu irrundha pudikinkeguvanuka padippa mattum than namma kitta irrundhu edukka mudiyathu mass🤔🤔🤔'
11878, Ithan highest peak aah irukum Dhanush anna ku',Dhanush Anna is the highest peak of this'
11879, Namba kita kaadu iruntha eduthukuvango ruuva iruntha pudingikunvango padipu mattum namba kita irunthu eduthukuvae mudiyathu   chidambaram',"Chidambaram, we can't take away from us the forest that we had, the Pudingi Gunas that we had, only education.'"
11880,  mass dialogue Ipo Atha than panitu irrukanga',Mass dialogue now has its share'
11881, Namma padippa mattum namma kita irunthu edukavae mudiyathu sema dialogue',Only our studies can never be taken away from us'
11882, Thaaru maaru vera lvl dhanush anna acting',Dhanush Anna's acting is on a different level'
11883, Intha vatti Ascar award ku try panrar pola🤗🤗',Intha vatti Ascar award ku try panrar pola🤗🤗'
11884, Puthupetai dhanush  ah yarellam pathinga',"Dhanush in Puduppet, who is it?'"
11885, National award miss aagathuu indha time',National this time for his Miss Yaga'
11886, Die heart fan of dhanush Love u thalaivaa Ummmaaaaa Padam vera levela eruka pothu Tq thalaivaaaa',"Die hard ban opi Dhanush love u Thaliwaaaaaaaaaa the film is different, but it is public duck Thaliwaaaa'"
11887, Dhanush vera level la poita ya ne',Dhanush has gone to another level'
11888, Indha maadhri dhairiyasaalinga eppayaachu dhaa porappan avana payanpaduthikravan dhaan buthisaali  Well said Our Dhanush vetrimaraan combo is an example of this',"Why is this kind of brave, tha Borappan is the one who uses him, he is smart, white side, Dhanush Vetrimaran combo is an example of this.'"
11889, Trailer na ipdi irukanum tha vera level',The trailer is on a different level'
11890, Trailer Ra ore varthaiyil sollanuna Gommala trailer appadi Rikki',"If you want to say the trailer raw in one word, the trailer is like that Ricky'"
11891, Parkathukku munnadiye pottathu nan mattum thana',I was the only one who put it in front of the page'
11892, GVpesama nee music laye irupaathuthan unaku Nalla varuthu',Kwabesama you are good at being in music'
11893, Diwali ku vantha mass ha irukum',There will be mass coming to Diwali'
11894, Dhanush Anna va thetre la pakka yaarlaam waiting',Dhanush Anna and Tete La Paka Yarlam Vidin'
11895, Visvasam Remix music vera level bro Gv 🤘Visvasam  musics alluthu',Viswasam Remix music vera level bro Gv 🤘Viswasam musics eluthu'
11896, Namakku thevaiyana tha namma thaa adichu vaanganum  tharam',What we need is quality that we can beat'
11897, Diwali Ku vandha nalla irukum asuran bigil kelmbi irukum',Beagle Kelambi is a good-looking monster who came to Diwali'
11898, Hit like if u see our old Kanmadam movie Manju is back',Hit like ip u c yer old kannadam mowaye manju is pasak'
11899, Dhanush veriyans like hereasura vettai aarambam',Dhanush Varians Like Heresura Hunt Begins'
11900, Setha sanda potu saganam mass dilouge ',Fight to the death omen mass deluge'
11901, Vara vara movie title ku ore confusion na phochi Already Khatti movie remake in Telugu naming Kaidhi',Vara Vara Mowaye Title Ku Ore Kanapssin Na Bochi Alre Ati Gatti Mowaye Remake In Telugu Naming Gaithi'
11902, Namba Pullaingo yella Ipo ingatha erupanga Thalapathy  Director la',"Namba Pullingo, where are you now, Thalapathy Director?'"
11903, Ajith fans reaction  Kaithi movie director Next Thalapathy movie yoda director  Nalla irukunu sollalama ila mokkanu sollalama🤔🤔🤔  Billa pandi hitunu soli otikalam',Ajith fans reaction Kaithi movie director Next Thalapathy movie yoda director Nalla irukunu sollalama ila mokkanu sollalama🤔🤔🤔 Billa pandi hitunu soli otikalam'
11904, Wotha Ena visuals  apo  inum veri aa Irukum',"Similarly, the visuals will be even more frenetic'"
11905, k view k like kdislike 🤣🤣',k view k like kdislike 🤣🤣'
11906, Appo bigil ku ippo allu vitturkumey to be Frank pakka mass and pure hit no doubt',Apo beagle ku ippo allu vidukume du pe frank paka mas and pure hit no doubt'
11907, Lol bigil trailer inum release agulaathukula kaithi n bigil compare panitu irukanga',The Little Beagle Trailer Shares Prisoner's Beagle Cumber in Still-Releasing Tube'
11908, Namma Thalapathy directorkage Oru like podlama',Can we give a like to our leader Tractorkaj?'
11909, SAM CS BGM  DOPSATHYAN SOORIYAN ANBARIV STUNTS PHILOMIN RAJ EDITING LOKESH KANAGARAJ DIRECTION  KAITHI BLOCKBUSTER',Sam Kis Bikum Dopsathyan Suryan Anbarive Stunts Philomin Raj Editing Lokesh Kanagaraj Direction Gaithi Blockbuster'
11910,  k views  k likes epdiya',K views k leaks epdia'
11911, Podra vediya  deepavali ku oru karumathi irukku',There is a Karumathi for Diwali'
11912, Thalaivan Verothanam Start PanntaruIndha Diwali Nammaldhu Thalaivaa',Thalaivan Doshranam Start Pannadaruintha Diwali is our leader'
11913, Podu podu podu podu podu vera level trailer',Another level trailer'
11914, Nambika vanthutukarthikey ipdina thalapathy kuverithanama irukum polayejolly trailer allu vudanum thalaiva',Hope comes to Karthikeya like this Thalapathy is like a fanatic'
11915, Bigil update vidura time la 🤗trailer release panna paathiya ',Bigil update vidura time la 🤗trailer release panna paathiya'
11916, Arumai ya irukku vetri pera vazhththukkal by Thalapathy veriyan',"It's awesome, congratulations on your success, Phaya Thalapathy Khioniyaan'"
11917, Saavratha irunthaalum Sanda potu saavanum sir  Bayanthu kaal la vilunthu saaga koodathu',"Even if you don't want to die, fight and die, don't be scared and die'"
11918, Ah  BGM Veri Yaethuthu',Ah Bikum very excited'
11919, Otha  tharamana sampavam diwali ku iruku   bigil  valakqm pola  oo ooothan🤣🤣🤣🤣🤣🤣',Otha tharamana sampavam diwali ku iruku bigil valakqm pola oo ooothan 🤣🤣🤣🤣🤣🤣'
11920, Pullingo gethi  ayya saami Bigiloda  pls   kaithiya vidatheenga 🤣🤣🤣🤣🤣',Pullingo gethi ayya saami Bigiloda pls kaithiya vidatheenga 🤣🤣🤣🤣🤣'
11921,  AntMan ah pottu Hope pottu polakra adhe smack',Atman is the same burden as Ah and Hope'
11922, Mind la asuran theme mattum dhaan oditu irukku',Only Asuran theme is running in Mint'
11923, Thalapathy  pakkkaaa heavy masss tha',Thalapathy Pakkana Hatchway Masses Tha'
11924, Otha bigil  hoooohoooo🤣🤣🤣🤣kaithi team sema',Otha bigil hooooohoooo🤣🤣🤣🤣kaithi team sema'
11925, Surya Anna fan like kaithi movie trailer',Suriya Anna Bane Like Kaithi Mowaye Trailer'
11926, Voice seekrama varuthu aprama thaan lips movement varuthu',The voice is coming soon and the Lips Movement is coming'
11927, Ivan Bigil ku tough kodupan pola',As if he would give a dog to a beagle'
11928, Im from punjab just lv u karthi',Im Prem Punjab Just Love U Karthi'
11929, Ebhhha deiii enna da verithanam ah irruku trailer',Ebihha dayiyy what da crazy ah there trailer'
11930, Tharamana sambavam kaathutu irrukku diwali ku Bigil vs kaithi',Quality Incident Kathuttu Irru Diwali Ku Beagle vs Prisoner'
11931, Intha Deepavali Ku Oru tharamana padam varapoguthu so kandippa thalapathi Ku adutha padam tharamana kathai ah irukkum LokeshKanagaraj',"A quality film is coming this Diwali, so sure, Thalapathy Ku next film will be a quality story, Lokeshuganagaraj.'"
11932, Marana Mass Karthi Nammode Annante Annan',Death Mass Karthi Namode Annankitte Annan'
11933, Bgm vera level la iruku Naren sounds like gvm',Naren sounds like Kwam which is on another level'
11934, Valthukkal enrum thalapathy rasigan samayan maduraikaran',Greetings and Thalapathy Rasikaman Maduraikaran'
11935, Video pakaraduku munadi like pantasama trailer',Like the trailer before watching the video'
11936, Indha diwali tharamaana sambavam iruku',This Diwali quality incident'
11937, All the best lokesh kanagaraj Thalapathy  Vera level ahh irukanum Thalapathy ahhh mass ahh katanum',All the best Lokesh Kanagaraj Thalapathy is on a different level and Thalapathy ahhh mas that credit'
11938, മലയാളികൾ ഉണ്ടോ karthi kerala fans like adi',Are there Malayalees karthi kerala fans like adi'
11939, Lots of love from Karnataka   Hit like karthi fans',Lotus Opi Love Prem Karnataka Hit Like Karthi Pals'
11940, Misnarry kaikuli vijay padatai indukal vachi saivom',Missionary handiwork Vijay Patadai Hindus will do Vachi'
11941, Sema na sema na sema naa nee',Sema na sema na sema na you'
11942, Pavadai kalin kaikuli vijay padatai indukal nangal parka kudathu',We Hindus should not see the handiwork of skirts'
11943, Tharaamaaa Movie Athulaa yanthaa oru Matruuu Karuthum ilaiii Athuu Mattum uruthii',Taramaya mowaye tula yanta is an alternative to the leaves and is only determined by it'
11944, Karthi Fans Hit Like',Karthi Paul's hit like'
11945, Bigil trailer ku wait pandravanga hit like podunga',Beagle Trailer Ku Wait Hit Like'
11946, Karthi Anna Kola MassVettaydave Veriyodu Suthuran KaithiDiwali',Karthi Anna Kola is a swordsman who furiously stabs at Massavettai'
11947, intha trailer paatha pirahuyarukelam Thalapathy mela waiting athigama iruku',This trailer has more than Thalapathy for Pada Prahayar'
11948, Scriptmusiccinemotography mainly karthi acting vera levelukaithiye ipadi irukuna thalapathy  epadi iruka pogutho Cant wait',Sakriptmusiccinematography Manly Karthi Acting Other Levelukaithi How is Thalapathy going to be Cant Wait'
11949, Bigil  Kaithi Yar yar  padathukume waiting',Beagle Kaathi Yaar Yaar Vidin too'
11950, Confirm ithu karthi ku periya Black buster agum',Kangbhirm is a great fruit buster for Karthi'
11951,  BlockBuster list la kaithi  kandippa varum',Kaadi will definitely be on the Blockbuster list'
11952, BIGIL  like KAITHI comment   Sangathamizhan dislike',Beagle Like Prisoner Comment Sangathamiljan dislikke'
11953,  k views  k like  k dislike how',K Views K Like K Dislike How'
11954, Like comment varathukkaga Bigil kaithi nnu pottu enda kadupethurega',Why are you being harsh by posting Beagle Prisoner for like comment?'
11955, Settehrunah sande podeh sagenoh  kaal le  vilunthe sageh kudahthe  Semme dialogue ',sentahrunah sunde bodeh sakenoh kaal le kalde saket kudate semme dialogue'
11956, Yow editor trailer yeh mukkavasi story solitiyeya',Yow editor trailer eh mukwasi story tellitiyeya'
11957, Itha kadhai nu trailer eh solita mathri iruku',It is as if trailer H told this story'
11958, like  vijay  comment  karthi',Like Vijay Comment Karthi'
11959, Dialogue saguradha irundalum sanda potu saganum sir kai kaal la vilundhu saaga kudadhu',"Even if the dialogue is not good, you should not die in a fight'"
11960, Bigil koodaye modhurapdi adhu    Idhuthanda verithanam',It's such a frenzy that even a Beagle would collide'
11961, Saagarathaa iruththalum senda seinchi saaganum diwali ku',"Even if you die, send a gift and die for Diwali'"
11962, definitely  telungu fans tha first pidikum sollirukan intha lusuivan padatha theatrela pakama tamilrockersla papomnu solravanga ellam LIKE podungoooo',Definitely Telugu Pals tha chest has said that he likes this Lusuyavan movie.'
11963, Karthi padathukae trailer ipdi irrukae Thalapathy  trailer vera maari irrukum',"The trailer for Karthi is already there, the trailer for Thalapathy will change and die'"
11964, Director logesh kanagaraj  enga ooru tha coimbatore pakkam kinathukadavu avunga appa fancy vechurukaaru enaku nalla palakam',Director Lokesh Kanagaraj Enga Uru tha Coimbatore page Kinathukkadau Avunga Abba Engiya Vechurukkaru I have good habit.'
11965, Enna bro commercial thukkala irruku poleyy',It's like having a pro'
11966, Itha paathutu Thalapathy pathi nanachavanga like pannunga',"If you like this Bhatuttu Thalapathy, please like it'"
11967, Kaithi sangathamizhan for diwali apo bigil🤣🤣',Kaithi sangathamizhan for diwali apo bigil🤣🤣'
11968, Perfect Sampavam Deepavali kku Kaathuttu Irukku',The Parapict incident is waiting for Diwali'
11969, Views k Like k va purilaya',Views like like'
11970, Yaara seruppala adikkanum nu thonuthu  Likekaithi CommentBigil nu poduravanayaa  illa  LikeBigil CommentKaithi nu poduravanayaa  Like for  Comment for ',Who should be hit with a sandal?'
